이런 거 보면 공룡님은 진짜 프로페셔널한 방송인이라는 생각이 듬. 기획도 기획이고 다크포레스트 이론 찾아서 본 것부터가 컨텐츠의 취지를 알고 잘 살리고자 하는 마인드가 있음.
"다크 포레스트 가설 영상 링크<br><br>[ <a href=""https://youtu.be/xAUJYP8tnRE]"">https://youtu.be/xAUJYP8tnRE]</a>"
"다크 포레스트 가설 영상 링크<br><br>[ <a href=""https://youtu.be/xAUJYP8tnRE]"">https://youtu.be/xAUJYP8tnRE]</a>"
뒤풀이 생방으로 보면서 닼포 속 몰랐던 자잘한 것들도 알게되고 이해가 잘 안 됐던 부분들도 이해돼서 너무 좋았던 것 같아요! 특히 기지들 찾으면서 차가운 걸음 흔적 지도에 적나라하게 다 보이는것도 넘 웃겼음 ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뒤풀이방송마저 재밌는 다크포레스트... 너무너무 수고하셨습니다!!
이제 서버 만들어야지
"생방으로 보면서 몰랐던 부분을 알게되었네요 뒤풀이 너무 재밌네요ㅋㅋㅋㅋ 왜 코마팀을 멸망시켰는지 다시한번 느끼게 되네요ㅋㅋㅋㅋㅋ 우주문명토크 세심한 부분까지 크으!! 다들 다크포레스트 너무 고생하셨습니다!!<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJSqDOiJ_9EP-_60oAQ""></a>"
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1380"">23:00</a>  왜 코마팀을 멸망시켰는지 너무 잘 이해된다ㅋㅋㅋ 멸망 안 시킬 수가 없었네ㅋㅋㅋㅋ"
"그냥 서버의 규칙만 이해하고 플레이해도 충분히 재밌을 수 있는데도 이 컨텐츠의 본질과, 원하는 바 같은 거를 연구하고 공부해서 플레이를 한다는 게 존경스럽다."
"이 대작을 보내줄 때가 왔다니ㅣ 슬프다 <a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJ6oDOiJ_9EP-_60oAQ""></a> 본인도 얼마나 몰입해서 했으면 뒷풀이를 이틀에 나눠서 하냐구 ㅋㅋㅋㅋ 그만큼 하는 사람도 보는 사람도 넘 재밌었던 서버였던 거 같음"
다크포레스트 룡팀만 보다가 이제 끝나서 모든 팀 몰아보는 중인데 <br>안될안과 잘될잘 을 정확하게 보여준 컨텐츠가 아닐까.. 하핳<br>뭐.. 웃음에서만큼은 룡팀이 잘된거죠 핳
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1316"">21:56</a>  뜰님진짜 반갑게..헐"
"진짜 몰입하면서 다크포레스트를 플레이했다는걸 이 영상을 통해 확실히 느꼈다<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJSqDOiJ_9EP-_60oAQ""></a><br>뒤풀이 방송도 재밌었고 이게 진정한 비하인드 영상이다ㅋㅋㅋㅋ<br>주말동안 열심히 하시느라 정말 고생하셨고 문명 이야기는 비유 자체가 완전 이해하기 쉬웠어요ㅋㅋㅋㅋ<a href=""UCWf4QKgnTyvmehcRqw-JldQ/sBE1ZLLcH-eM_9EPx8m90As""></a>"
항상 이렇게 대규모로 게임을 하시고 뒷풀이로 게임에서 했던 행동들의 의도들과 과정들을 설명해주시는게 좋은거 같네요<br>그냥 보기엔 예능팀이지만 사실은 초전략적이었던 건가요?ㅋㅋㅋ
근데 공룡님 구상하시는거 보면 진짜 지능 좋으셔..
공룡님은 각별님이 서버이름을 다크 포레스트 이론 보고 작명했구나! 라고 생각했겠지만<br>사실 저거 서버 이름 생각 안 나서 그냥 막 지은거임 ㅋㅋㅋㅋㅋㅋ<br><br>코딩방송 중반까지만 해도 서버이름 대지돈 리바이브인 줄 알았음
진짜 스토리텔링 능력이나 분석 능력이 엄청 높으신 것 같아요 이번 영상보면서 다크포레스트에서의 모든 행동들이 되게 깊이 생각했다는 걸 이제서야 알게됐네욬ㅋㅋㅋ 후기 방송이 이렇게 재밌을 줄이야😂 다른 서버들에서의 공룡님이 넘 기대되네요!
이런 이론이 있는지도 몰랐는데 이걸 듣고나니 오히려 공룡님이 &#39;다크포레스트&#39;에 맞는 플레이를 한거였다는 생각이 드네
진짜 공룡님 보면 토크 능력이랑 기획 능력이 뛰어나고 거기에 맞춰서 예능감이 나온다는 생각이... 기획에서 뭘 원하는 지 아니까 카메라 의식하고 주제에 맞춰서 행동하는 느낌임 그게 뭐 트롤처럼 보이든 아군이든... &#39;기획자&#39;의 능력을 가진 스트리머가 뭔지를 잘 보여주는 느낌... 그만큼 노력하고 재능있고 시간을 쏟는게 대단하다고밖에... 단순히 천부적이다 말하기에는 자잘한 디테일까지 신경쓰는 본인의 미학까지 곁들여져서 진짜 노력과 재능 둘다 넘치는듯한 느낌
그냥 생각없이 봐서 이런 디테일한 부분이 있었네요. 저런 부분까지 생각하는걸 보니 진짜 프로 방송인이다라는걸 다시금 되새기고 가게 되네요..
"볼때마다 진짜 공룡님은 대단하신듯.. 컨텐츠에 몰입하시려구 한거 보면 진짜 대단하심..<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJSqDOiJ_9EP-_60oAQ""></a>"
다크(=공룡님)포레스트라고 말하고 싶을 정도로 게임에 대한 의심과 이론의 해석을 실행으로 잘 풀어내신 뒤 내용을 듣고 나니 감탄만 나와요!ㅋㅋ사실 영상에서 말씀하신 것처럼 실시간 보면서 흐름을 못 따라가겠다는 생각이 들었는데 이야기 듣고 나니 시원하고 웃기네요ㅋㅋㅋ 다크포레스트 참여하신 모든 분들 수고하셨습니다!!
다크포레스트 보면서 음습한 속셈과 전략짜고 상대방 속이는게 당연해진 느낌이야ㅋㅋㅋ
아니 본편보다 뒤풀이가 더 웃기면 어떡하냐고 ㅋㅋㅋㅋㅋㅋㅋㅋ<br>그리고 항상 느끼는 거지만 공룡님은 설명을 진짜 기깔나게 잘하시는 듯 ㅋㅋㅋㅋ
쇤네는 이런 점 때문에 공룡나으리가 좋습니다요<br>예능감 뛰어나고<br>광대같은 뒷면에<br>현자같은 모습 참 훌륭하다고 생각됩니다요
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1433"">23:53</a> 한 번 더 마이너스 호감도를 찍어서 플러스가 되겠다는 큰 뜻이.."
뒤늦게 시점마다 보고 뒤풀이 영상을 보게 되었는데 공룡님의 분석을 들을 때면 늘 무언갈 배우고 가게 되는 것 같아요. <br><br>[다크 포레스트] 라는 제목을 딱 듣고서 저는 다크 포레스트? 검은 숲? 무슨 뜻일까? 라는 의문만 가졌었는데 공룡님은 직접 자료를 찾아봤다는 점에서 남다르다는 것을 다시금 깨달았습니다. 콘텐츠를 어떻게 하면 더 재밌고 매력적이게 만들 수 있을까를 고민하신 것 같아서 정말 멋있었어요.<br>방송인 시점의 인격과 평소의 인격을 구분해서 봐야 할 줄 알아야겠다는 생각이 드는 설명이었습니다.<br><br>또 이것을 듣는 사람으로 하여금 쉽게 이해할 수 있도록 잘 정리해서 말씀해 주시는 공룡님의 말솜씨도 한 몫 했다는 생각이 드네요. 귀엽게 생긴 문명에서 광속으로 날아가는 핵폭발무기를 만들고 있다는 비유 듣고 바로 이해가 됐습니다ㅋㅋㅋ <br><br>긴 이야기도 편하고 재밌게 들을 수 있어서 너무 좋았습니다. 다크 포레스트 정말 수고 많으셨습니다!!
솔직히 모두들 너무 평화적으로 개발만해서 루즈해질수있었는데 공룡님이 확 살린거같기도함
"어둠의 숲 가설(Dark Forest Hypothesis)이란 외계 문명 간 접촉은 필연적으로 멸망을 초래하기에 모든 문명들은 숲 속의 사냥꾼처럼 자신을 숨기고 다른 문명을 발견하는 즉시 제거해버릴 수 밖에 없으며 그것이 우주에 우리 외의 문명이 보이지 않는 이유라는 가설입니다.<br>이는 페르미 역설(Fermi Paradox), 무한한 우주에 왜 우리 외에 고등한 지적 생명체가 없고 발전한 문명이 보이지 않는가?에 대한 해답으로 우주라는 환경적 특성, 외계 문명이라는 개념의 특성 상 우주 문명 간 조우는 파멸로 치닫을 가능성이 높기 때문에 제정신 박힌 문명들은 자신을 철저히 숨기고 있거나 혹은 상대를 감지하는 족족 상대 문명을 선제 공격으로 파괴시키는 아주 공격적인 전략을 쓰고 있으므로 우주에는 문명 교류 같은게 보이지 않는다고 말하는 이론입니다."
"근데 진짜 말빨 대단하다고 느끼는게 <a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=490"">8:10</a> 부터 말하는게 진짜 개웃기고 집중 빡 됨 ㅋㅋㅋㅋㅋㅋ 약간 호소력이 짙다고 해야하나 ㅋㅋ 지대웃김<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZOOpDOiJ_9EP-_60oAQ""></a><a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZOOpDOiJ_9EP-_60oAQ""></a>"
"막부분 이론이랑 다크 포레스트란 세계관을 연관지어서 다.포의 공룡이란 캐릭터의 입장에서 설명해주는 게 되게 되게 재밌고 흥미롭다... <br>마냥 개그 많고 재밌는 컨텐츠~로 끝난 게 아닌 세계관을 까보고 정립하는 과정, 거기서의 다.포 공룡의 심리를 엿보는 것이 너무 즐겁네요<br>그리고 전부 멸망시킬 생각! 이었으나 뜰님이 너무 반갑게 ㅋㅋㅋㅋㅋㅋㅋㅋ맞아줘서 다.포 공룡의 계획이 수정된 것도 ㅠㅠㅠ 캐릭터성이 입체적이라서 컨텐츠의 진행 방향은 물론이고 이런 뒷이야기도 더욱 흥미롭게 만들어준 것이 아닐까!! 재밌게 잘 봤습니다!"
이렇게 보니까 공룡님은 뭔가 멋진 선배님이랑 조폭 두목이랑 합쳐놓은 것 같은 모습 ㅋㅋㅋㅋㅋㅋ
뒤풀이방송ㅋㅋㅋㅋ 다음 콘텐츠가 매우 기대가 되는군요ㅋㅋㅋ 보는 내내 계속 웃었습니다ㅋㅋㅋ<br>뭐야 내 배꼽 어디갔어
이제 닼포가 끝났으니 새로운 서버도 기대하겠습니다!
코마팀 프로토스 그 자체네ㅋㅋㅋㅋ<br><br>-초고도문명<br>-다른 문명 싸그리 싹싹 멸망시킬 힘 갖고있음<br>-근데 모종의 이유로 다른 문명에 간섭하지 않음<br>-모성이 멸망당함
진짜 겁나 큰 빅엿을 먹여주시는 룡님 ㅋㅋㅋㅋㅋ
스타 드립에서 계속 터졌넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br>코마님 다음 서버도 기대하겠습니다
